Utterance,Intents
kad untuk cash back ada ,"card: 0.917
"
kad mana lagi best ,"card: 0.999
"
how can i transfer credit card balance to Affin card. ,"card: 0.739
"
which card is good for travel ,"card: 0.985
"
i wanna convert balance to instalment ,"card: 0.728
"
which card got cashback ,"card: 0.982
"
how to apply instalment for card ,"card: 0.903
"
i want to apply for petrol card ,"card: 0.812
"
can you recommend a card for me ,"card: 0.979
"
which card is for shopping ,"card: 0.998
"
i want to transfer balance credit card ,"card: 0.996
"
i want to transfer balance of credit card ,"card: 0.997
"
i want to know about debit cards ,"card: 0.998
"
i want to know about prepaid cards ,"card: 0.99
"
how can i get the information of debit cards ,"card: 0.949
"
how can i get the information of prepaid cards ,"card: 0.858
"
I want to know about credit card ,"card: 0.944
"
how to apply credit card ,"card: 0.852
"
boleh compare kad tak ,"card: 0.773
"
kad untuk shopping ada,"card: 0.986
"
Which is your most recommended card ,"card: 0.977
"
