Utterance,Intents
Ada kerja kosong?,"vacancy-practical-inquiry: 0.959
"
Affin Bank terima student untuk practical tak?,"vacancy-practical-inquiry: 0.966
"
Bagaimanakah cara untuk saya mendaftar semula Affinmax Secure saya?,"affinmax-secure-registration: 0.978
"
Membimbing admin untuk mencipta Profil pengguna atau pandu kepada panduan pengguna,"guide-admin-to-create-user-in-profile-or-guide-to-user-guide: 0.986
"
Kad saya hilang macam mana nak block?,"card-maintenance: 0.991
"
Saya nak penyata dari awal pembukaan akaun hingga yang terkini.,"e-statement: 0.931
"
Saya nak keluarkan duit lebihan bayaran ke akaun simpanan.,"loan-redraw: 0.971
"
Bagaimana nak bayar baki penyata kad kredit?,"pay-to-credit-card: 0.979
"
Saya nak save detail akaun ini sebagai favourite transfer.,"register-fav-transfer: 0.977
"
Saya nak save detail akaun bil ni sebagai favourite macam mana?,"manage-payment: 0.974
"
Saya nak resit transfer yang saya buat tadi.,"view-rib-transaction-history: 0.987
"
Who create you?,"who-is-your-mentor: 1
"
what is the interest rate for home loan,"view-advance-payment-loan-and-financing: 0.104
"
Adakah anda mempunyai Deposit Tetap Asing?,"do-you-have-foreign-fixed-deposit: 1
"
Adakah Affin mempunyai FD Asing?,"do-you-have-foreign-fixed-deposit: 0.978
"
Saya dah update nombor baru dekat cawangan tapi kenapa bila buat pembelian kad tak terima OTP ni nombor baru?,"is-it-tac-and-otp-number-is-the-same-thing: 0.907
"
Saya nak tukar Soalan Sekuriti/Cabaran.,"change-security-questions: 0.964
"
Saya tak berjaya lakukan transaksi sebab saya tak ingat kata laluan,"affinsecure-forgot-pin: 0.2
"
AffinSecure. Boleh tolong reset?,"forgot-password: 0.031
"
Saya nak bayaran ni dibuat secara automatik dari akaun saya pada tarikh berikut.,"manage-transfer-shedule-transfer: 0.967
"
Saya nak batalkan bayaran autodebit saya buat online sebab loan tu dah habis bayar.,"manage-transfer-shedule-transfer: 0.974
"
Macam mana nak check jumlah lebihan bayaran dekat akaun pinjaman saya?,"view-advance-payment-loan-and-financing: 0.971
"
Macam mana nak dapatkan penyata?,"e-statement: 0.801
"
Saya request TAC dah dapat dekat nombor baru tapi OTP masih send dekat nombor lama.,"change-phone-number-for-debit-card-credit-card: 0.952
"
Saya nak kemaskini alamat surat menyurat bagi akaun bersama.,"change-mailing-address-joint-holders: 0.972
"
Saya nak semak duit masuk ke akaun hari ni.,"how-to-view-transaction-rib: 0.675
"
Siapa awak?,"who-are-you: 0.988
"
Nama awak apa?,"who-are-you: 0.996
"
Awak ada girlfriend tak?,"who-do-you-have-crush: 0.993
"
Awak ada boyfriend tak?,"who-do-you-have-crush: 0.995
"
Berapa umur awak?,"how-old-are-you: 0.995
"
Saya nak tukar gambar bila log masuk profil online.,"change-security-image-word: 0.984
"
Awak tinggal di mana?,"where-are-you-from: 0.996
"
Saya nak resit transfer yang saya buat.,"view-rib-transaction-history: 0.971
"
Awak dari mana?,"where-are-you-from: 0.988
"
Awak suka jazz tak?,"do-you-like-sport: 0.999
"
Saya lonely.,"i-am-lonely: 0.996
"
Awak ada keluarga tak?,"do-you-have-mother: 0.996
"
Awak muda ke?,"how-old-are-you: 0.999
"
Awak suka warna apa?,"what-color-you-like: 0.998
"
Berapa banyak yang saya perlukan untuk deposit untuk deposit tetap asing?,"do-you-have-foreign-fixed-deposit: 0.984
"
Saya nak buat pinjaman dengan cagar tanah.,"collateral-for-loan: 0.931
"
Awak suka movie apa?,"what-color-you-like: 0.939
"
May i transfer from Affin to other bank?,"can-i-transfer-from-affin-to-other-bank: 0.995
"
Bila saya nak dapat balik refund RM200,"why-am-i-being-charged-rm-200: 0.727
"
Apakah dokumen yang diperlukan untuk membuka akaun dengan Affin Bank?,"open-a-basic-savings-account: 0.602
"
What food you like?,"what-color-you-like: 0.915
"
Are you old?,"how-old-are-you: 0.976
"
Saya nak transfer tapi tak boleh sebab nombor telefon tak berdaftar.,"how-to-create-a-token-i-cant-transfer-money-pls-help-me: 0.954
"
You are boring,"you-are-boring: 1
"
Do you like watching movie?,"do-you-like-sport: 0.949
"
Do you have father?,"do-you-have-mother: 0.988
"
Saya ada buat lebihan bayaran dekat akaun pinjaman.,"what-happens-if-i-pay-more-than-my-monthly-instalment: 0.941
"
i wanna convert balance to instalment,"card: 0.849
"
Who is your boss?,"who-is-your-boss: 0.998
"
Lapar tak?,"have-you-eat: 0.995
"
