Utterance,Intents
can i call the agent ,"liveagent: 0.95
"
i want to connect with support ,"liveagent: 0.951
"
how can i connect with support ,"liveagent: 0.986
"
connect with agent ,"liveagent: 1
"
trigger live agent journey,"how-do-i-withdraw-my-fd: 0.137
"
i want to talk to live agent,"update-email-to-receive-statement-via-email: 0.246
liveagent: 0.994
"
i want to talk to a person,"liveagent: 0.997
"
chat with person,"liveagent: 0.999
"
i wanna talk to a human,"liveagent: 0.997
"
chat with human,"liveagent: 0.999
"
you dont understand me,"liveagent: 0.999
"
i need to talk to someone,"liveagent: 0.999
"
you are a stupid machine,"you-are-boring: 0.749
"
one stupid bot,"you-should-improve-your-website: 0.067
"
you cannot solve my problem,"liveagent: 0.957
"
problem not solved,"you-are-boring: 0.405
"
you didnt answer my question,"liveagent: 0.962
"
Can I please speak to your boss?,"who-is-your-boss: 0.78
liveagent: 0.229
"
Can I please speak to your director?,"who-is-your-boss: 0.78
liveagent: 0.229
"
Can I please speak to your manager?,"who-is-your-boss: 0.78
liveagent: 0.229
"
Can I please speak to your supervisor,"who-is-your-boss: 0.771
liveagent: 0.292
"
Can I please speak with your boss,"who-is-your-boss: 0.754
liveagent: 0.247
"
Can I please speak with your director,"who-is-your-boss: 0.754
liveagent: 0.247
"
Can I please speak with your manager,"who-is-your-boss: 0.754
liveagent: 0.247
"
Can I please speak with your supervisor,"who-is-your-boss: 0.754
liveagent: 0.247
"
Can I speak to your boss?,"who-is-your-boss: 0.726
liveagent: 0.268
"
Can I speak to your director?,"who-is-your-boss: 0.726
liveagent: 0.268
"
Can I speak to your manager?,"who-is-your-boss: 0.726
liveagent: 0.268
"
Can I speak to your supervisor,"who-is-your-boss: 0.72
liveagent: 0.32
"
Can I speak with your boss,"who-is-your-boss: 0.725
liveagent: 0.266
"
Can I speak with your director,"who-is-your-boss: 0.725
liveagent: 0.266
"
Can I speak with your manager,"who-is-your-boss: 0.725
liveagent: 0.266
"
Can I speak with your supervisor,"who-is-your-boss: 0.725
liveagent: 0.266
"
I demand to speak to someone in charge,"liveagent: 0.923
"
I demand to speak to your boss,"who-is-your-boss: 0.342
liveagent: 0.321
"
I demand to speak to your manager,"who-is-your-boss: 0.342
liveagent: 0.321
"
I demand to speak to your supervisor,"who-is-your-boss: 0.342
liveagent: 0.321
"
I demand to speak with someone in charge,"liveagent: 0.915
"
I demand to speak with your boss,"who-is-your-boss: 0.355
liveagent: 0.26
"
I demand to speak with your manager,"who-is-your-boss: 0.355
liveagent: 0.26
"
I demand to speak with your supervisor,"who-is-your-boss: 0.355
liveagent: 0.26
"
I demand to talk to someone in charge,"liveagent: 0.879
"
I demand to talk to your boss,"who-is-your-boss: 0.385
"
I demand to talk to your manager,"who-is-your-boss: 0.385
"
I demand to talk to your supervisor,"who-is-your-boss: 0.385
"
I demand to talk with someone in charge,"liveagent: 0.843
"
I demand to talk with your boss,"who-is-your-boss: 0.41
"
I demand to talk with your manager,"who-is-your-boss: 0.41
"
I demand to talk with your supervisor,"who-is-your-boss: 0.41
"
I need to speak to someone in charge,"liveagent: 0.99
"
I need to speak to your boss,"who-is-your-boss: 0.24
liveagent: 0.544
"
